t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496999,364,63.914125,16.071905,10.720182,4.070376,15.104078,17.219812,21.117951,27.384634,30.332931,63.914125,487.544023,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497000,871,63.914125,15.896080,10.720182,3.445241,14.982202,16.788255,22.154107,24.777136,27.693161,63.914125,499.270632,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497001,1375,63.914125,15.973688,7.548097,3.824090,15.013747,16.833975,22.264503,26.457335,28.229876,56.437647,500.395515,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497002,1887,56.437647,15.802162,7.548097,3.309716,14.909564,16.637433,21.455463,24.436784,27.174649,47.849599,503.589288,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497003,2389,56.437647,15.857519,7.548097,3.422323,14.910686,16.781841,21.935833,25.272432,26.912164,47.849599,503.494484,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497004,2891,56.437647,15.859872,7.548097,3.428406,14.981036,16.833975,21.935833,25.521848,27.360250,47.849599,503.266313,504.600000,504.600000,504.600000,calls/second,milliseconds
1480497005,3393,56.437647,15.908029,7.548097,3.412507,15.001063,16.899665,22.123314,25.781622,28.186966,38.337044,503.040905,504.600000,504.600000,504.600000,calls/second,milliseconds
1480497006,3899,56.437647,15.871829,7.548097,3.426355,14.926588,16.819960,22.129777,25.781622,28.186966,38.337044,503.464013,504.600000,504.600000,504.600000,calls/second,milliseconds
1480497007,4412,38.337044,15.819055,7.548097,3.160791,14.886613,16.810922,21.857354,25.702295,28.186966,34.141411,504.489873,504.600000,504.600000,504.600000,calls/second,milliseconds
1480497008,4909,38.337044,15.815192,7.548097,3.145424,14.928498,16.763881,21.878404,25.711564,27.763236,34.141411,503.808667,504.600000,504.600000,504.600000,calls/second,milliseconds
1480497009,5419,38.337044,15.837021,7.548097,3.115388,14.948837,16.789003,21.878404,25.789155,27.360250,32.617481,504.385246,504.568018,504.593389,504.597784,calls/second,milliseconds
1480497010,5929,38.337044,15.793060,7.147520,3.069179,14.964788,16.683628,21.690935,25.711564,27.551853,32.617481,504.766602,504.568018,504.593389,504.597784,calls/second,milliseconds
1480497011,6434,38.337044,15.747645,7.147520,3.026299,14.947962,16.672755,21.591943,25.272432,27.248210,32.617481,504.856740,504.568018,504.593389,504.597784,calls/second,milliseconds
1480497012,6945,38.337044,15.737839,7.147520,2.944140,14.987354,16.650390,21.551633,25.126838,27.174649,29.436111,505.188029,504.568018,504.593389,504.597784,calls/second,milliseconds
1480497013,7453,38.337044,15.764173,7.147520,3.009000,14.998684,16.710756,21.551633,25.183196,27.208670,33.840267,505.477802,504.568018,504.593389,504.597784,calls/second,milliseconds
1480497014,7972,38.337044,15.777517,7.147520,2.979830,15.048386,16.743603,21.439058,25.183196,27.208670,33.840267,506.256723,504.890397,504.659612,504.619957,calls/second,milliseconds
