t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497196,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,233.868033,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497197,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,69.926879,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497198,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,41.150893,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497199,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,29.171175,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,22.586189,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,18.419968,20.000000,20.000000,20.000000,calls/second,milliseconds
1480497202,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,15.555704,20.000000,20.000000,20.000000,calls/second,milliseconds
1480497203,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,13.460860,20.000000,20.000000,20.000000,calls/second,milliseconds
1480497204,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,11.862537,20.000000,20.000000,20.000000,calls/second,milliseconds
1480497205,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,10.592374,20.000000,20.000000,20.000000,calls/second,milliseconds
1480497206,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,9.587764,18.400888,19.669429,19.889197,calls/second,milliseconds
1480497207,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,8.749378,18.400888,19.669429,19.889197,calls/second,milliseconds
1480497208,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,8.028587,18.400888,19.669429,19.889197,calls/second,milliseconds
1480497209,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,7.447016,18.400888,19.669429,19.889197,calls/second,milliseconds
1480497210,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,6.930278,18.400888,19.669429,19.889197,calls/second,milliseconds
1480497211,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,6.481718,16.929634,19.344322,19.779008,calls/second,milliseconds
1480497212,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,6.086567,16.929634,19.344322,19.779008,calls/second,milliseconds
1480497213,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,5.738068,16.929634,19.344322,19.779008,calls/second,milliseconds
1480497214,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,5.426228,16.929634,19.344322,19.779008,calls/second,milliseconds
1480497215,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,5.146923,16.929634,19.344322,19.779008,calls/second,milliseconds
1480497216,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,4.895179,15.576016,19.024588,19.669429,calls/second,milliseconds
1480497217,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,4.666626,15.576016,19.024588,19.669429,calls/second,milliseconds
1480497218,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,4.458428,15.576016,19.024588,19.669429,calls/second,milliseconds
1480497219,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,4.268041,15.576016,19.024588,19.669429,calls/second,milliseconds
1480497220,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,4.093313,15.576016,19.024588,19.669429,calls/second,milliseconds
1480497221,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,3.932330,14.330626,18.710140,19.560457,calls/second,milliseconds
1480497222,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,3.783876,14.330626,18.710140,19.560457,calls/second,milliseconds
1480497223,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,3.645693,14.330626,18.710140,19.560457,calls/second,milliseconds
1480497224,100,9.730337,2.183739,1.097953,1.000915,1.917872,2.070635,3.965574,4.741096,5.701722,9.730337,3.517679,14.330626,18.710140,19.560457,calls/second,milliseconds
