t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496976,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,1.284707,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496977,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.565157,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496978,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.361053,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496979,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.265052,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496980,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.209521,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496981,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.173316,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496982,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.147683,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496983,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.128642,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496984,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.113978,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496985,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.102346,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496986,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.092838,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496987,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.084952,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496988,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.078300,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496989,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.072623,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496990,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.067700,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496991,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.063402,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496992,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.059622,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496993,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.056269,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496994,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.053275,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496995,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.050580,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496996,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.048140,0.155760,0.190246,0.196694,calls/second,milliseconds
1480496997,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.045934,0.155760,0.190246,0.196694,calls/second,milliseconds
1480496998,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.043916,0.155760,0.190246,0.196694,calls/second,milliseconds
1480496999,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.042065,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497000,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.040370,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497001,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.038801,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497002,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.037353,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497003,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.036010,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497004,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.034759,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497005,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.033589,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497006,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.032498,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497007,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.031474,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497008,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.030515,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497009,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.029612,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497010,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.028759,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497011,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.027956,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497012,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.027195,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497013,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.026476,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497014,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.025791,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497015,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.025144,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497016,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.024528,0.111607,0.177976,0.192372,calls/second,milliseconds
1480497017,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.023940,0.111607,0.177976,0.192372,calls/second,milliseconds
1480497018,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.023380,0.111607,0.177976,0.192372,calls/second,milliseconds
1480497019,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.022846,0.111607,0.177976,0.192372,calls/second,milliseconds
1480497020,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.022335,0.111607,0.177976,0.192372,calls/second,milliseconds
1480497021,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.021848,0.102683,0.175035,0.191306,calls/second,milliseconds
1480497022,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.021381,0.102683,0.175035,0.191306,calls/second,milliseconds
1480497023,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.020934,0.102683,0.175035,0.191306,calls/second,milliseconds
1480497024,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.020504,0.102683,0.175035,0.191306,calls/second,milliseconds
1480497025,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.020091,0.102683,0.175035,0.191306,calls/second,milliseconds
1480497026,1,0.431455,0.431455,0.431455,0.000000,0.431455,0.431455,0.431455,0.431455,0.431455,0.431455,0.019696,0.094473,0.172142,0.190246,calls/second,milliseconds
