t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497196,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,7.157913,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497197,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.876893,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497198,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.466976,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497199,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.318645,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.241633,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.194564,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497202,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.162893,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497203,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.140072,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497204,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.122356,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497205,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.109273,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497206,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.098607,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497207,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.089769,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497208,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.082194,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497209,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.076112,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497210,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.070722,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497211,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.066053,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497212,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.061955,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497213,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.058350,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497214,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.055126,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497215,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.052246,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497216,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.049656,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497217,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.047306,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497218,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.045167,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497219,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.043214,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497220,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.041423,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497221,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.039777,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497222,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.038258,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497223,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.036846,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497224,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.035539,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497225,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.034319,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497226,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.033180,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497227,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.032115,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497228,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.031116,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497229,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.030177,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497230,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.029292,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497231,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.028457,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497232,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.027671,0.121306,0.180967,0.193443,calls/second,milliseconds
1480497233,1,0.180115,0.180115,0.180115,0.000000,0.180115,0.180115,0.180115,0.180115,0.180115,0.180115,0.026924,0.121306,0.180967,0.193443,calls/second,milliseconds
